Email_Subject,Email_Content,Sending_Date,Sending_Time,Day,URL_Title,Coined.Word,Sender_Name,Sender_Title,Closing_Remarks,Sender_Email ,Logo,To,email_text
Messages containing Locky malware,"Hello,

Please sign the attached contract with our technical service company for 2016 ð 2017.
We would appreciate your quick response.",24 Aug 2016Ê,20:29:58,Wed,na,financial,Y,(Digital-Signature: f0a0e01386d19b03736165288026cc97e325560c78700e95),"King regards,",ÊCurtis.8271@brasiltelecom.net.br,na,B,"messages containing locky malware hello

please sign the attached contract with our technical service company for   
we would appreciate your quick response"
Messages containing Locky malware,"Hi,

The monthly financial statement is attached within the email.
Please review it before processing.",8/24/16,8:44:09,Wed,na,financial,Y,(Topic-ID: b0b82053c611db43b3a1a568c0660cd72365964cb8b04ed5),"King regards,",ÊCurtis.8271@brasiltelecom.net.br,na,B,"messages containing locky malware hi

the monthly financial statement is attached within the email
please review it before processing"
Vital Info,"Hello,Ê Please refer to the vital info I've shared with you using Google Drive.Ê ClickÊhttps://www.google.com/drive/docs/file0116Êand sign in to view details..","May 23, 2016Ê",2:56 PM,Mon,URL,vital,Y,"Readmission Representative
Office of the Registrar",Regard,na,na,B,vital info hello please refer to the vital info ive shared with you using google drive click sign in to view details
bCourses Phish Attack,"Dear User,

This message is to inform you that your access to bCourses will soon
expire.  You will have to log in to your account to continue to have access
to this service.

You need to reactivate it just by logging in through the following URL.  A
a successful login will activate your account, and you will be redirected to
your bCourses page.

http://bcourses.berkeley.cnea.gq/login_0DZbL4B22o0ki22F0IZotK2LqgZijDXvfIrGID3D4cemh3lPfYHa62pNgFo4Oh4B40FO4WFMGuwEM8fb8yNE7xdTJSMBNYpeL22BMCB8yNmkrd1qJSMjMmbphO9TsF3jXm/

If you are not able to login, please contact Mary Patel at mpatel@berkeley.edu(link sends e-mail) for immediate
assistance.",5/20/16,na,na,URL,"expire, access, ",Y,"Berkeley Security
University of California, Berkeley
510-643-6927",Sincerely  ,mpatel@berkeley.edu,na,B,"bcourses phish attack dear user

this message is to inform you that your access to bcourses will soon
expire  you will have to log in to your account to continue to have access
to this service

you need to reactivate it just by logging in through the following url  a
a successful login will activate your account and you will be redirected to
your bcourses page



if you are not able to login please contact mary patel at mpatelberkeleyedulink sends email for immediate
assistance"
Your account has been Iimited untiI we hear from you,"your account has been suspened , as an error was detected in your informations. The reason for the error is not certain, but for secuirty reasons, we have suspended your account temporarily.",3/22/16,4:14 PM,na,Update your information,suspended,Y,na,na,Acces@up.com,PayPal,NB,your account has been iimited untii we hear from you your account has been suspened  as an error was detected in your informations the reason for the error is not certain but for secuirty reasons we have suspended your account temporarily
RE: Notice from @rescue.org,"Hello Everyone,
 
  There will be additional IT maintenance today between 10am Ð 11am. During this time, some IT systems and applications used by the IRC globally may be affected, and you may experience brief outages. Please upgrade your mailboxes (size to 20.0GB). by clicking IT SYSTEM AND MAINTENANCE.",3/14/2016Ê,7:35 AM,na,IT SYSTEM AND MAINTENANCE.,notice,Y,na,na,Ashley.Mathew@rescue.org,na,NB,"re notice from rescueorg hello everyone
 
  there will be additional it maintenance today between am  am during this time some it systems and applications used by the irc globally may be affected and you may experience brief outages please upgrade your mailboxes size to gb by clicking it system and maintenance"
Last Reminder You Must Update Your Apple Account Information!,"Hello,

We've noticed that some of your account information appears to be missing or incorrect, we need to verify your account information in order to continue using your Apple ID.

Please Verify your account information by clicking on the link below. Sign in using your Apple ID to start the process, Verify Now >.

Wondering why you got this email?

When you don't regularly update your Apple ID information, Apple will require you to sign in by following the link in a verification email and update your information.
This is to help protect your identity and keep your account secure.

Apple Support",3/13/16,1:32,na, Verify Now ,"missing, incorrect,last remider",Y,na,na,Appel@support.com,na,NB,"last reminder you must update your apple account information hello

weve noticed that some of your account information appears to be missing or incorrect we need to verify your account information in order to continue using your apple id

please verify your account information by clicking on the link below sign in using your apple id to start the process verify now 

wondering why you got this email

when you dont regularly update your apple id information apple will require you to sign in by following the link in a verification email and update your information
this is to help protect your identity and keep your account secure

apple support"
Help DeskÛÜ Notice.,"We detected unknown IP access on our date base computer system our security requires you to verify your account for secure security kindly Click Here and verify your account. 
ÛÜ
Help DeskÛÜ",3/4/16,4:00 PM,na,Click Here ,"unknown, notice",Y,Help DeskÛÜ,na,jjdoe@capousd.org,Unknown,NB,"help desk notice we detected unknown ip access on our date base computer system our security requires you to verify your account for secure security kindly click here and verify your account 

help desk"
Google Docs Download,You have a pending incoming download docs shared with you via Google docs,2/22/2016Ê,5:45 AM,na,Secure Message,Download,na,na,na,Google@Googledocss.com,Google Docs,BN,google docs download you have a pending incoming download docs shared with you via google docs
2015 W-2 statement,"I need all our employee's reference copies of 2015 W-2 wages and tax
statement, i am working on a review and if you can work on the W2's and
have it sent to me as an attachment this morning that will be
splendid. Via email would be appropriate.","Feb 22, 2016Ê",8:17 AM,Mon,na,"Tax, attachment",Y,na,Regards.,President@ucop.edu,na,B," w statement i need all our employees reference copies of  w wages and tax
statement i am working on a review and if you can work on the ws and
have it sent to me as an attachment this morning that will be
splendid via email would be appropriate"
Your access has been disabled,"Dear User

Your Itunes-ID has been disabled .
You've place your account under the risk of termination by not keeping the correct informations .
Please verify your account as soon as possible.
Ready to check ?
Click here to get back your account.",2/21/16,4:33 PM,Unknown,Click here,"disable account access, termination, ",Y,Unknown,"Sincerely,",no_reply@appsupport.com,na,NB,"your access has been disabled dear user

your itunesid has been disabled 
youve place your account under the risk of termination by not keeping the correct informations 
please verify your account as soon as possible
ready to check 
click here to get back your account"
Dear Email User,"Your password will expire in 2 days, Click Here
to re-change your password immediately.",2/9/16,5:38 PM,Unknown,Click here,"expire, password, immidiately",Y,"
IT- Help Desk","Thank you,
",jdoe@seedschoolmd.org,na,NB,"dear email user your password will expire in  days click here
to rechange your password immediately"
Help Desk / Password Update,Password will expire in 2 days ÊClick HereÊTo Validate E-mail,2/2/16,5:01 AM,Unknown,Click here,"expire, validate",Y,IT-Service Help Desk,"Thank you,
",John.doe@medford.k12.or.us,na,NB,help desk  password update password will expire in  days click hereto validate email
Record Update,"This is an urgent request to update your employment record at the U.S Department of Labor.

Update ", 1/18/2016 ,1:57 PM,Unknown,UpdateÊ,"update, urgent,employment",Y,"U.S Dept. of Labor
Frances Perkins Building, 
200 Constitution Ave., NW, 
Washington, DC 20210",Thank you,records@dol.gov,Department of Labor,NB,"record update this is an urgent request to update your employment record at the us department of labor

update "
Important Update,"As we prepare to start the 2016 Tax filling season, we have undergone slight changes in the filling process to make filling for your refund easier and to prevent unnecessary delays.
Part of the changes include updating our database with your information.
Please ensure to carefully complete this verification to avoid hitches in processing your refund.
We have sent you an attachment, open it and follow the steps to verify your profile.",Ê1/15/2016,2:58 PM,Unknown,na,"update, IRS, TAX",Y,IRS Service,na,irs@services.com,na,NB,"important update as we prepare to start the  tax filling season we have undergone slight changes in the filling process to make filling for your refund easier and to prevent unnecessary delays
part of the changes include updating our database with your information
please ensure to carefully complete this verification to avoid hitches in processing your refund
we have sent you an attachment open it and follow the steps to verify your profile"
DHL EXPRESS DOCUMENT,"Your parcel (shipping document) arrived at the post office. Here is your Shipping Document/Invoice and copy of DHL receipt for your tracking which includes the bill of lading and DHL tracking number, the new Import/Export policy supplied by DHL Express. Please kindly check the attached to confirm accordingly if your address is correct, before we submit to our outlet office for dispatch to your destination.",1/15/2016Ê,6:47 AM,Unknown,DHL_EXPRESS.pdf (34Kb) View | Download,"DHL, shipping",Y,DHL EXPRESS,na,office@korloycompany.ro,na,NB,dhl express document your parcel shipping document arrived at the post office here is your shipping documentinvoice and copy of dhl receipt for your tracking which includes the bill of lading and dhl tracking number the new importexport policy supplied by dhl express please kindly check the attached to confirm accordingly if your address is correct before we submit to our outlet office for dispatch to your destination
IMPORTANT TAX RETURN DOCUMENT AVAILABLE,"Dear: Account Owner,

Our records indicate that you are enrolled in the University of California paperless W2 Program. As a result, you do not receive a paper W2 but instead receive e-mail notification that your online W2 (i.e. ""paperless W2"") is prepared and ready for viewing. __

Your W2 is ready for viewing under Employee Self Service. Logon at the following link:

Click Here to Logon

If you have trouble logging in to Employee Self Service at the link above, please contact your Payroll Department for support.

If you would like to un-enroll in the Paperless W2 Program, please logon to Employee Self Service at the link above and go to the W2 Delivery Choice webpage and follow the instructions.",1/6/16,5:53:32 AM,Unknown,Click Here ,"TAX, W2, important",na,Unknown,na,ÊESSW2@berkeley.edu,na,NB,"important tax return document available dear account owner

our records indicate that you are enrolled in the university of california paperless w program as a result you do not receive a paper w but instead receive email notification that your online w ie paperless w is prepared and ready for viewing 

your w is ready for viewing under employee self service logon at the following link

click here to logon

if you have trouble logging in to employee self service at the link above please contact your payroll department for support

if you would like to unenroll in the paperless w program please logon to employee self service at the link above and go to the w delivery choice webpage and follow the instructions"
"Re:
X-PHP-Originating-Script: 1336:NPS.php","Dear Dr. <recipient's name removed>;

I recently read your last article and it was very useful in my field of research. I wonder, if possible, to send me these articles to use in my current research:

1- http://auth.berkeley.eduh.in/<link removed>

2- http://www.sciencedirect.com/science/article/pii/S1644966515000825(link is external)

Thanks for you Cooperation in Advance.
John Doe
Department of Civil and Environmental Engineering University of Alberta
Phone: (XXX) XXX-XXXX
--21878cacb2d3a784678d12d61f1136d7--",1/2/16,Ê09:58:07 GMT,Sat,URL,research,Y,Department of Civil and Environmental Engineering University of Alberta,Thanks for you Cooperation in Advance.,john.doe@ulberta.ca,na,NB,"re
xphporiginatingscript npsphp dear dr 

i recently read your last article and it was very useful in my field of research i wonder if possible to send me these articles to use in my current research

  removed

  is external

thanks for you cooperation in advance
john doe
department of civil and environmental engineering university of alberta
phone xxx xxxxxxx
cacbdaddfd"
Your account on the verge of closure !!,"Dear Client, Recently your account was reviewed and flagged because of a potential connection to some fraudulent transaction. To avoid an eventual restriction to your account, please verify your informations by logging in to our Litigations Manager.", 1/1/2016 ,5:47 AM,na,check my account,"fraudulent, transaction",Y,na,na,support@ppl.com,Pay.service secure,NB,your account on the verge of closure  dear client recently your account was reviewed and flagged because of a potential connection to some fraudulent transaction to avoid an eventual restriction to your account please verify your informations by logging in to our litigations manager
ÊURGENT: Your New Salary Notification,"Hello, You have an important email from the Human Resources Department with regards to your December 2015 Paycheck

This email is enclosed in the Marquette University secure network, hence access it below

Access the documents here <http://gabrielramon.be/<link removed>

***Ensure your login credentials are correct to avoid cancellations**

Faithfully
Human Resources
University of California, Berkeley",12/10/15,7:22 AM,"Thu,",URL,URGENT,Y,"Human Resources
University of California, Berkeley",Faithfully, HR@berkeley.edu,na,NB,"urgent your new salary notification hello you have an important email from the human resources department with regards to your december  paycheck

this email is enclosed in the marquette university secure network hence access it below

access the documents here 

ensure your login credentials are correct to avoid cancellations

faithfully
human resources
university of california berkeley"
REQUEST,"Hi, a quick message before it skips my mind again. I need you to purchase some gift cards from the store today. We intend to reward some staffs with it. Reply and let me know how soon you can get this done. Also, please keep this confidential pending the time we announce it.","July 16th, 2019",5.22.48PM EDT,na,Unknown,"Request, gift card",Y,na,na,na,na,B,request hi a quick message before it skips my mind again i need you to purchase some gift cards from the store today we intend to reward some staffs with it reply and let me know how soon you can get this done also please keep this confidential pending the time we announce it
Lesson Coach Needed,Some hiring stuffs for coach,"July 16th, 2019",12.50pm,Tue,Unknown,"Needed, employment hire",Y,Colman,Regard,Y,na,B,lesson coach needed some hiring stuffs for coach
"Caller from Kent Admin on 16 July, 2019",call missed,"July 16th, 2019",5.12pm,Tue,Na,hiring,Y,Kent support,Regrads,Y,Microsoft,B,caller from kent admin on  july  call missed
REPLY AS SOON AS POSSIBLE,"Bank, important matter to discuss with late client who is dead. Asking for full detail information","July 14th, 2019",11.33am,sun,Email,important,na,Unknown,Regards,Y,Na,B,reply as soon as possible bank important matter to discuss with late client who is dead asking for full detail information
V M 123310719,call missed,"July 10th, 2019",3.29pm,wed,na,missed call,na,na,na,Y,"Microsoft, Office 365",B,v m  call missed
inviting you to collaborate on filess,some shred document,"July 10th, 2019",7.56pm,wed,file ,shared,na,na,na,na,Microsoft,B,inviting you to collaborate on filess some shred document
VM Message attached,call missed,"July 9th, 2019",12.37pm,tue,na,missed call,na,na,na,na,Office 365,B,vm message attached call missed
ÊVerification Process.,"account verification, microsoft account in kent","July 8th, 2019",8.55am,mon,na,"verification, access",Y,na,Cheers,Y,na,B,verification process account verification microsoft account in kent
Audio received,audio,7/8/19,2.09 pm,mon,na,audio,Y,kent support,na,na,na,B,audio received audio
I AM ASKING FOR YOUR SUPPORT.,Someone lost lifr in Libyan civil war. Help kin,"ÊJuly 5th, 2019",3.18PM,Fri,email,support,Y,na,na,na,na,B,i am asking for your support someone lost lifr in libyan civil war help kin
"shared ""DOCX"" with you.",shared docx,"June 27th, 2019",11.55.54 AM,na,doc file,shared,na,na,na,na,microsoft word,B,shared docx with you shared docx
File has been damaged,shared docx,"june 27th, 2019",4.56am,thur,file ,damaged,Y,na,na,na,Google Drive,B,file has been damaged shared docx
Kent-Outlook E-Ticket:#JKf1SB3YW5 for @k****edu.,"confirm with microsift, account","June 25th, 2019",1.44am,tue,link,confirm,Y,na,na,na,Microsoft,B,kentoutlook eticketjkfsbyw for kedu confirm with microsift account
Faculty Evaluation.docx,faculty evaluation,"June 25th, 2019",10.49am,tue,file ,evaluation,Y,ITS service,na,na,microsoft ward,NB,faculty evaluationdocx faculty evaluation
Missed Call,called missed,"ÊJune 21st, 2019",1.54pm,fri,na,na,na,na,na,na,na,B,missed call called missed
TESTi1,"english speaking editor, professional guide, correcting","juen 20, 2019",5.24.03om EDT,na,na,"editor, service",Y,na,"Best Regards,",na,na,NB,testi english speaking editor professional guide correcting
ÊClustered Alert ID 130423046,some pending message,"June 20th, 2019",11.39am,thur,access message,alert,Y,na,"Best Regards,",Y,microsoft,B,clustered alert id  some pending message
Approved Job Offer,selected for shadow shopper review,"June 20th, 2019",11.39am,thur,apply here now,"approve, offer, ",Y,na,Warm Regards,na,shadowshopper,B,approved job offer selected for shadow shopper review
"Agriculture Department shared ""Document"" with you.",internal dept shared document,"ÊJune 20th, 2019",10.24.01 am,thur,open,"shared, document",Y,na,na,na,Microsoft,B,agriculture department shared document with you internal dept shared document
Advertise While Driving Your Car,job opportuniies and looking for candidate,"June 19th, 2019",1.27pm,wed,na,"hiring, ",na,na,na,na,na,B,advertise while driving your car job opportuniies and looking for candidate
Payroll Changes made was successful,chnages in payroll information,"ÊJune 17th, 2019",4.19pm,mon,payroll verification,"payroll, changes, access, authenticated",na,na,Thank you,na,na,B,payroll changes made was successful chnages in payroll information
Office 6/17/2019 11:56:18 AM,office 465 subscription exrired and. Validation stuff,"June 17th, 2019",5.57am,mon,confirm now,"expire, request,subscritption, validation",Y,na,na,na,Office 365,B,office   am office  subscription exrired and validation stuff
 Office 365 Password About To Expire,office 465 subscription exrired and. Validation stuff,"June 17th, 2019",8.08pm,mon,offcie 365 Admin center,"expire, password, subscription, hold",Y,office 365 Customer Service,Thank you,Y,offcie 365,B, office  password about to expire office  subscription exrired and validation stuff
Information.docx,file has been shared In docx,"June 17th, 2019",11.50am,mon,file ,"file, share,docx",Y,na,na,na,docx,B,informationdocx file has been shared in docx
"Assalamualaikum My Dear Friend,","politiics, legal iisues to retire , million doller to bank, profit","ÊJune 17th, 2019",3.11pm,mon,na,"profit, bank, dollar, million, confirmation",Y,na,thank with my best regards,na,na,B,assalamualaikum my dear friend politiics legal iisues to retire  million doller to bank profit
ÊYou have (15) notification message from your faculty admin,notification message from faculty admin,"June 14th, 2019",11.59am,fri,blackboard faculty admin,"notification, admin, faculty",Y,Y,Thanks,Y,na,B,you have  notification message from your faculty admin notification message from faculty admin
 Verification Required: Validate Service Request for Kent,email update required and confirm now,"June 13th, 2019",1.06pm,thur,office365 account team,"update, required, confirm, disable, suspense, ",Y,Y,Thanks,Y,offcie 365,B, verification required validate service request for kent email update required and confirm now
"Account Activity Request on 13 June, 2019",ms account activation and validation ,"June 13th, 2019",12.50pm,thur,validate now,"activation, validate, immidiate, request",Y,Y,Regrads,Y,microsoft,B,account activity request on  june  ms account activation and validation 
Audio_Message from ext. 4783,audio,"June 12th, 2019",11.16am,wed,na,na,Y,Y,na,Y,na,B,audiomessage from ext  audio
kent.edu Email Deactivation Request,made request to deactivate your account ,"June 11th, 2019",10.50om,tue,na,"deactivate,request",Y,Y,Thanking you,Y,na,B,kentedu email deactivation request made request to deactivate your account 
ÊMissed Call,caller left a message for you,"June 11th, 2019",1.12 PM,tue,na,message,na,na,na,na,na,B,missed call caller left a message for you
I BRING CALVARY GREETNG FROM MRS.SUZAN BONI.,money for cancer diagnosied,"June 11th, 2019",8.35am,tue,na,"cancer, diseases, ",na,na,na,na,na,B,i bring calvary greetng from mrssuzan boni money for cancer diagnosied
please update ppayment,"update payment  and payment declined, ","June 10th, 2019",8.50am,mon,update payment information,"decline, update, payment, failed",Y,Y,S.incerely,Y,na,B,please update ppayment update payment  and payment declined 
Work Code of Conduct,work conduct for employee in an institution,"June 3rd, 2019",7.36pm,mon,na,"HR, code, employment",Y,Y,"Regards,",Y,na,B,work code of conduct work conduct for employee in an institution
Incoming Email issues,email issues from office 365,"June 3rd, 2019",7.48am,mon,follow simple steps,"issues, email, account,recover, hold",y,y,sincerely,Y,Office365,B,incoming email issues email issues from office 
ÊYour PayPal Payment Receipt of $649.99 to **MCAFEE LLC,"statement of payment , transaction details and log into PayPal account  ","June 2nd, 2019",8.39.55am EDT,na,manage or cancel subscritption,"transaction, payment, account",Y,Y,na,Y,PayPal,B,your paypal payment receipt of  to mcafee llc statement of payment  transaction details and log into paypal account  
Pet Sitter Needed,"I need someone to look after my pet, $350 weekly","May 29th, 2019",5.53 pm,wed,na,"needed, ad, ",Y,Y,"Thanks,",Y,na,B,pet sitter needed i need someone to look after my pet  weekly
lncoming emails rejected,offi e 365 was unable to deliver ,"May 24th, 2019",1.34pm,fri,Retrieve message,"rejected, unable,",Y,Y,na,Y,na,B,lncoming emails rejected offi e  was unable to deliver 
Update ID: Review Message,need to validate account ,"ÊMay 23rd, 2019",7.40om GMT,na,confirm now,"validate, request,update",Y,Y,na,Y,na,B,update id review message need to validate account 
We Need Your Confirmation,fund in office that we like to make some clarification,"May 22nd, 2019",7.42.13 am,wed,na,"confirmation, ",Y,Y,Yours in Servic,Y,na,B,we need your confirmation fund in office that we like to make some clarification
Email Security Alert,email storage exceeded the limit and need to upgrade immidiately. ,"May 22nd, 2019",8.36 am,wed,URL Redacted,"exceeded, upgraded, alert, secuirty, data lost,immidiately",Y,Y,na,Y,na,B,email security alert email storage exceeded the limit and need to upgrade immidiately 
Doc___gn Received : ScannedAgreementDOC012.Pdf,doc shared,"May 21st, 2019",3.30pm,tue,Review Document,shared,Y,Y,"Thank you,",Y,Docx,B,docgn received  scannedagreementdocpdf doc shared
Employment Opportunity,"personal assistant, employment opportunity","May 20th, 2019",8.17pm,mon,na,"employment, immidiately",Y,Y,Thank you,Y,na,B,employment opportunity personal assistant employment opportunity
Puppy Sitter:,need puppy sitter ,"ÊMay 16th, 2019",7.47am,thur,na,"employment, ",Y,Y,na,Y,na,B,puppy sitter need puppy sitter 
Payment receipt,remittance advice for payment ,"May 16th, 2019",12.20pm,thur,file ,payment,Y,Y,na,Y,na,B,payment receipt remittance advice for payment 
ÊBusiness/Partnership,deal and interest in business,"May 10th, 2019",1.13am,fri,na,benefits,Y,Y,Sincerely,Y,na,B,businesspartnership deal and interest in business
SCAN5655,shared file,"ÊMay 9th, 2019",12.00pm,thur,open doc,share,Y,Y,na,Y,na,B,scan shared file
FW: Action Required: Update your payment information now,payment against office 365 subscription was failed,"May 8th, 2019",9.04pm,wed,URL Redacted,"failed, subscription, payment,admin, update,remove,request",Y,Y,Regards,Y,na,B,fw action required update your payment information now payment against office  subscription was failed
ÊFW: Action Required: Update your payment information now,payment declined for office 365,"May 8th, 2019",7.52pm,wed,update your payment information,"update, declined, payment, ",na,na,"Sincerely,",na,na,B,fw action required update your payment information now payment declined for office 
Due Invoice 10355697 From Cortland Line Company,"file shared about invoices , financial","May 6th, 2019",12.04 pm,mon,file ,"invoice, payment",Y,Y,na,na,na,B,due invoice  from cortland line company file shared about invoices  financial
Help,"donating, lottery winner","May 4th, 2019",1.30 am,na,na,"pay, money",Y,Y,na,Y,na,B,help donating lottery winner
